"","GEOID20","id"
"1","42001000170",7
"2","42001000190",7
"3","42001000200",7
"4","42001000260",7
"5","42001000230",7
"6","42001000270",7
"7","42001000310",7
"8","42001000320",7
"9","42001000330",7
"10","42001000370",7
"11","42001000380",7
"12","42001000390",7
"13","42001000425",7
"14","42001000450",7
"15","42001000440",7
"16","42001000460",7
"17","42001000480",7
"18","42001000240",7
"19","42001000280",7
"20","42001000340",7
"21","42001000360",7
"22","42001000350",7
"23","42001000385",7
"24","42001000400",7
"25","42001000410",7
"26","42001000427",7
"27","42001000290",7
"28","42001000010",7
"29","42001000040",7
"30","42001000020",7
"31","42001000030",7
"32","42001000050",7
"33","42001000070",7
"34","42001000490",7
"35","42001000082",7
"36","42001000078",7
"37","42001000060",7
"38","42001000090",7
"39","42001000100",7
"40","42001000130",7
"41","42001000110",7
"42","42001000120",7
"43","42001000140",7
"44","42001000150",7
"45","42001000160",7
"46","42001000180",7
"47","42079000025",NA
"48","42079000010",NA
"49","42079000060",NA
"50","42079000050",NA
"51","42079000070",NA
"52","42079000083",NA
"53","42079000080",NA
"54","42079000088",NA
"55","42079000095",NA
"56","42079000120",NA
"57","42079000180",NA
"58","42051000536",6
"59","42051001072",6
"60","42035000010",2
"61","42035000020",2
"62","42035000030",2
"63","42035000370",2
"64","42035000040",5
"65","42035000050",5
"66","42035000060",2
"67","42035000070",5
"68","42035000080",2
"69","42035000090",2
"70","42035000100",2
"71","42035000110",5
"72","42035000120",2
"73","42035000130",2
"74","42035000140",2
"75","42035000150",2
"76","42035000160",2
"77","42035000170",5
"78","42035000180",2
"79","42035000210",2
"80","42035000190",2
"81","42035000220",2
"82","42035000200",2
"83","42035000230",2
"84","42035000250",2
"85","42035000265",5
"86","42035000240",2
"87","42035000280",2
"88","42035000290",2
"89","42035000300",2
"90","42035000315",5
"91","42035000340",5
"92","42035000350",2
"93","42035000360",5
"94","42089000162",NA
"95","42089000164",NA
"96","42115000010",2
"97","42115000020",2
"98","42115000430",2
"99","42115000030",2
"100","42115000360",2
"101","42115000040",2
"102","42115000050",2
"103","42115000060",2
"104","42067000010",7
"105","42067000020",7
"106","42067000030",7
"107","42067000200",7
"108","42067000040",7
"109","42067000050",7
"110","42067000071",7
"111","42067000090",7
"112","42067000100",7
"113","42067000110",7
"114","42067000120",7
"115","42067000130",7
"116","42067000140",7
"117","42067000150",7
"118","42067000160",7
"119","42067000170",7
"120","42067000180",7
"121","42067000190",7
"122","42025000015",9
"123","42025000040",9
"124","42025000050",9
"125","42025000062",9
"126","42025000070",9
"127","42025000058",9
"128","42025000100",9
"129","42025000090",9
"130","42025000460",9
"131","42025000080",9
"132","42025000130",9
"133","42025000120",9
"134","42025000110",9
"135","42025000140",9
"136","42025000150",9
"137","42025000160",9
"138","42025000180",9
"139","42025000200",9
"140","42025000190",9
"141","42025000210",9
"142","42025000220",9
"143","42025000170",9
"144","42025000240",9
"145","42025000250",9
"146","42025000230",9
"147","42025000258",9
"148","42025000262",9
"149","42025000280",9
"150","42025000270",9
"151","42025000290",9
"152","42025000310",9
"153","42025000300",9
"154","42025000320",9
"155","42025000340",9
"156","42025000350",9
"157","42025000330",9
"158","42025000360",9
"159","42025000376",9
"160","42025000390",9
"161","42025000400",9
"162","42025000380",9
"163","42025000420",9
"164","42025000410",9
"165","42025000428",9
"166","42025000432",9
